frame.number,frame.len,frame.time_epoch,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,udp.srcport,udp.dstport,tls.handshake.extensions_server_name,tls.record.version,tls.handshake.type,quic.long.packet_type,quic.version,anomaly
0.0012224938875305,0.0163043478260869,0.0032736659049987,288,9,3,0.0069167497507477,0.9938465852442672,0.0,0.0,0.0,2,4,2,3,2,-1
0.0019747978183186,0.0176630434782608,0.0045231878757476,231,9,1,0.0,0.0,0.0,0.0067756260586915,0.9501167707172622,2,4,2,3,2,-1
0.0031032537145006,0.0088315217391304,0.0061403214931488,6,1,3,0.9457876370887336,0.0069167497507477,0.0,0.0,0.0,2,4,2,3,2,-1
0.0034794056798946,0.0441576086956521,0.0073554515838623,299,9,3,0.0069167497507477,0.9695912263210368,0.0,0.0,0.0,2,1,2,3,2,-1
0.0037615196539401,1.0,0.008184015750885,150,40,1,0.0,0.0,0.0,0.0,0.0,2,4,2,3,2,-1
0.0038555576452886,1.0,0.008184015750885,150,40,1,0.0,0.0,0.0,0.0,0.0,2,4,2,3,2,-1
0.0039495956366372,1.0,0.008184015750885,150,40,1,0.0,0.0,0.0,0.0,0.0,2,4,2,3,2,-1
0.0040436336279857,0.9381793478260868,0.008184015750885,150,40,1,0.0,0.0,0.0,0.0817042835996276,0.0817242379375085,2,4,2,3,2,-1
0.0057363174722587,0.3029891304347826,0.0122977793216705,83,40,1,0.0,0.0,0.0,0.0817042835996276,0.0817242379375085,2,4,2,3,2,-1
0.0074290013165318,0.076766304347826,0.0163232684135437,44,43,1,0.0,0.0,0.0,0.8459918509362268,0.1858867705646207,2,4,2,3,2,-1
0.0081813052473199,0.0163043478260869,0.0177958607673645,112,9,3,0.0069167497507477,0.9457876370887336,0.0,0.0,0.0,2,4,2,3,2,-1
0.0090276471694564,0.0441576086956521,0.0191112756729125,288,9,3,0.0069167497507477,0.9938465852442672,0.0,0.0,0.0,2,1,2,3,2,-1
0.0091216851608049,0.0163043478260869,0.0194272696971893,6,59,3,0.9938465852442672,0.0069167497507477,0.0,0.0,0.0,2,4,2,3,2,-1
0.0119428249012601,0.0163043478260869,0.0224180221557617,6,60,3,0.9695912263210368,0.0069167497507477,0.0,0.0,0.0,2,4,2,3,2,-1
0.0149520406244122,0.1154891304347826,0.0285726189613342,161,47,1,0.0,0.0,0.0,0.8516992476613409,0.0290171416360111,2,4,2,3,2,-1
0.0181493323302614,0.0849184782608695,0.0355031490325927,79,47,1,0.0,0.0,0.0,0.9071556104930644,0.0290171416360111,2,4,2,3,2,-1
0.0184314463043069,0.1786684782608695,0.0364138484001159,126,24,1,0.0,0.0,0.0,0.8380411726106,0.8382458443362385,2,4,2,3,2,-1
0.0204062441226255,0.0339673913043478,0.0384763181209564,21,44,1,0.0,0.0,0.0,0.7865525187321645,0.1017660616976783,2,4,2,3,2,-1
